locationname,locationaddress
Corvette Park,40 Corvette Ave
Cosburn Park,115 Roosevelt Rd
Cotswold Park,44 Cotswold Cres
Coulter Ave Parkette,15 Coulter Ave
Courthouse Square Park,10 Court St
Coxwell Avenue Parkette,429 Coxwell Ave
Coxwell Avenue Playground,450 Coxwell Ave
Coxwell Ravine Park,460 O'Connor Dr
Craigleigh Gardens,160 South Dr
Craigton Court Tot Lot,14 Craigton Dr
Crawford - Jones Memorial Park,80 Dee Ave
Creekside Park,3600 Bayview Ave
Crescentwood Park,35 Crescentwood Rd
Cresthaven Park,37 Cresthaven Dr
Crocus Park,165 Crocus Dr
Cronin Park,404 Burnhamthorpe Rd
Cruickshank Park,2196 Weston Rd
Cudia Park,70 Meadowcliffe Dr
Cullen Bryant Park,50 Barbara Cres
Cummer Park,823 Cummer Ave
Cummer Parkette,6024 Leslie St
Curran Hall Ravine Park,815 Scarborough Golf Club Rd
Curtin Park,34 Riverdale Dr
Cy Townsend Park,455 Winona Dr
Cynthia - Frimette Parkette,Cynthia Rd
Dalesford Park,95 Grand Ave
Dallington Park,32 Glentworth Rd
Dalrymple Park,59 Dalrymple Dr
DAN Lannuzzi Park,75 Delabo Dr
Dane Parkette,21 Dane Ave
Danforth - Birchmount Parkette,3625 Danforth Ave
Danforth Gardens Park,498 Birchmount Rd
Davenport Village Park,18 Foundry Ave
David A. Balfour Park,75 Rosehill Ave
David Crombie Park,131 The Esplanade
David Pecaut Square,215 King St W
De Grassi St Parkette (also known as Degrassi Street Park),125 De Grassi St
Dean Park,80 Dean Park Rd
Dean Park Walkway,65 Dean Park Rd
Deanvar Parkette,45 Deanvar Ave
Debell Lane Parkette,5 Debell Lane
Deekshill Park,2 Piperbrook Cres
Delahaye Parkette,29 Touraine Ave
Dell Park,50 Dell Park Ave
Delma Park,38 Delma Dr
Delo Park,26 Joyce Pkwy
Dempsey Park,250 Beecroft Rd
Denfield Park,1496 Kipling Ave
Denison Park,108 Denison Rd W
Dennis Flynn Park,370 The West Mall
Densgrove Park,75 Hiscock Blvd
Dentonia Park,80 Thyra Ave
Dentonia Park Golf Course,781 Victoria Park Ave
Derrydowns Park,222 Grandravine Dr
Diana Park,46 A Diana Dr
Dieppe Park,455 Cosburn Ave
Dixington Parkette,40 Dixington Cres
Dixon Park,350 Dixon Rd
Don Lake Parkette,145 Antibes Dr
Don Mills Trail,813 Lawrence Ave E
Don Russell Memorial Park,290 Birmingham St
Don Valley Brick Works,550 Bayview Ave
Don Valley Golf Course,4200 Yonge St
Donalda Park,80 Donalda Cres
Donnybrook Park,43 Loyalist Rd
Donora Park,17 Donora Dr
Donwood Park,35 Highbrook Dr
Doris - Norton Park,Doris Ave
Dorset Park,5 Glaive Dr
Douglas B. Ford Park,1521 Royal York Rd
Douglas Greenbelt,303 Douglas Ave
Douglas Park,481 Evans Ave
Dovercourt Park,155 Bartlett Ave
Downsview Dells Park,2515 Jane St
Downsview Memorial Parkette,1092 Wilson Ave
Downsview Park And Lawn Bowling Greens,1629 Wilson Ave
Driftwood Park,44 Tobermory Dr
Driftwood Parkette,359 Driftwood Ave
Drumoak Road Parkette,12 Drumoak Rd
Drumsnab Parkette,8 Drumsnab Rd
Dubray Parkette,28 Dubray Ave
Dufferin And King Park,256 Dufferin St
Dufferin Grove Park,875 Dufferin St
Duncairn Park,71 Duncairn Rd
Duncan C. Little Park,2532 St Clair Ave E
Duncan Creek Park,3700 Don Mills Rd
Duncan Mill Greenbelt,100 Moatfield Dr
Duncanwoods Greenbelt,2470 Finch Ave W
Dundas - St. Clarens Parkette,1717 Dundas St W
Dundas - Watkinson Parkette,2742 Dundas St W
Dundas Parkette,155 Boulton Ave
Dunfield Park,35 Dunfield Ave
Dunlace Park,28 Dunlace Dr
Dunlop Park,19 Dunlop Ave
Dunn Avenue Parkette,185 Close Ave
Dunvegan Parkette,160 Dunvegan Rd
Duplex Parkette,2906 Yonge St
E.T. Seton Park,73 Thorncliffe Park Dr
Earl Bales Park,4169 Bathurst St
Earlscourt Park,1200 Lansdowne Ave
East Don Parkland,1240 Sheppard Ave E
East Lynn Park,1949 Danforth Ave
East Mall Park,355 The East Mall
East Point Park,201 Copperfield Rd
East Toronto Athletic Field,175 Main St
Eastdale Parkette,110 Eastdale Ave
Eastdale Playground,160 Boulton Ave
Eastview Park,33 Coronation Dr
Echo Valley Park,1124 Kipling Ave
Ed And Anne Mirvish Parkette,843 Bathurst St
Eden Valley Park,107 Poplar Heights Dr
Edenbrook Park,1310 Royal York Rd
Edge Park,15 Edge Park Ave
Edgeley Park,4401 Jane St
Edgewood Park,107 Oakley Blvd
Edgewood Parkette,1987 Dundas St E
Edinborough Park,94 Edinborough Crt
Edithvale Park,136 Holcolm Rd
Edwards Gardens,755 Lawrence Ave E
Eglinton - Gilbert Parkette,504 Gilbert Ave
Eglinton Flats,101 Emmett Ave
Eglinton Park,200 Eglinton Ave W
Eglinton Ravine Park,2281 Eglinton Ave E
Eighth Street Park,160 Eighth St
Elizabeth Simcoe Park,180 Sylvan Ave
Elkhorn Parkette,2 Elkhorn Dr
Ellerslie Park,499 Ellerslie Ave
Ellesmere Park,20 Canadian Rd
Ellesmere Reservoir Park,2950 Ellesmere Rd
Ellison Park,50 Yeomans Rd
Elm Park - North York,230 Gosford Blvd
Elm Park - York,54 Elm St
Elmbrook Park,2 Elmbrook Cres
Elmcrest Park,575 Rathburn Rd
Elward - Mansion Parkette,35 Mansion Ave
Empress Parkette,433 Empress Ave
Empress Tot Lot,304 Empress Ave
